PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40629395,The impact of limited healthcare access among patients with light chain and transthyretin amyloidosis: real-world survey during COVID-19 lockdown period in France.,2025,"['J Jeanneteau', 'B Gellen', 'B Lequeux', 'A Whereat', 'A Farrugia', 'C Taieb']","['Cardiology, Clinique Saint Joseph, Trélazé, France.', 'Cardiology, Polyclinique de Poitiers, Poitiers, France.', 'Centre Cardio-Vasculaire, CHU de Poitiers, Site de La Milétrie, Poitiers, France.', 'Speak the Speech Consulting, Asnières-sur-Seine, France.', ""Association Française Contre l'Amylose, Marseille, France."", 'Emma Clinic, Fontenay-sous-Bois, France.']",
40629169,Conservative management outcomes in acute pediatric mastoiditis.,2025,['Jumana Diana Reda'],"['Department of Oto-Rhino-Laryngology, Head and Neck Surgery, and Audiology, Entrance 6, 3rd Floor, Section 6033, Copenhagen, Denmark.Copenhagen Hearing and Balance Center, Copenhagen, Denmark.']",
40628904,Global pneumococcal sequence cluster lineage for invasive pneumococcal isolates in Denmark from summer 2019 to 2023.,2025,"['Thor Bech Johannesen', 'Kurt Fuursted']","['Department for Sequencing and Bioinformatics, Statens Serum Institut, Copenhagen, Denmark.', 'Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Artillerivej 5, 2300, Copenhagen, Denmark.']",
40628697,In silico genomic surveillance by CoVerage predicts and characterizes SARS-CoV-2 variants of interest.,2025,"['Katrina Norwood', 'Zhi-Luo Deng', 'Susanne Reimering', 'Gary Robertson', 'Mohammad-Hadi Foroughmand-Araabi', 'Sama Goliaei', 'Alice C McHardy']","['Computational Biology of Infection Research, Helmholtz Centre for Infection Research, Braunschweig, Germany.Braunschweig Integrated Centre of Systems Biology (BRICS), Technische Universität Braunschweig, Braunschweig, Germany.', 'Computational Biology of Infection Research, Helmholtz Centre for Infection Research, Braunschweig, Germany.Braunschweig Integrated Centre of Systems Biology (BRICS), Technische Universität Braunschweig, Braunschweig, Germany.German Center for Infection Research (DZIF), partner site Hannover Braunschweig, Braunschweig, Germany.', 'Computational Biology of Infection Research, Helmholtz Centre for Infection Research, Braunschweig, Germany.Braunschweig Integrated Centre of Systems Biology (BRICS), Technische Universität Braunschweig, Braunschweig, Germany.', 'Computational Biology of Infection Research, Helmholtz Centre for Infection Research, Braunschweig, Germany.Braunschweig Integrated Centre of Systems Biology (BRICS), Technische Universität Braunschweig, Braunschweig, Germany.', 'Computational Biology of Infection Research, Helmholtz Centre for Infection Research, Braunschweig, Germany.Braunschweig Integrated Centre of Systems Biology (BRICS), Technische Universität Braunschweig, Braunschweig, Germany.', 'Computational Biology of Infection Research, Helmholtz Centre for Infection Research, Braunschweig, Germany.Braunschweig Integrated Centre of Systems Biology (BRICS), Technische Universität Braunschweig, Braunschweig, Germany.German Center for Infection Research (DZIF), partner site Hannover Braunschweig, Braunschweig, Germany.', 'Computational Biology of Infection Research, Helmholtz Centre for Infection Research, Braunschweig, Germany. amc14@helmholtz-hzi.de.Braunschweig Integrated Centre of Systems Biology (BRICS), Technische Universität Braunschweig, Braunschweig, Germany. amc14@helmholtz-hzi.de.German Center for Infection Research (DZIF), partner site Hannover Braunschweig, Braunschweig, Germany. amc14@helmholtz-hzi.de.']",amc14@helmholtz-hzi.de.Braunschweig
40628443,Covid-19: Indian health ministry refutes links between sudden cardiac death and vaccination.,2025,['Neha Bhatt'],['Delhi.'],
40628391,The influence of case factors and system factors on the timeliness of testing and contact tracing for COVID-19 in The Netherlands.,2025,"['Elke M den Boogert', 'Suzan van Dijken', 'Irene E Goverse', 'Tjalling Leenstra', 'Mariska W F Petrignani', 'Stijn F H Raven', 'Kirsten Wevers']","[""Department of Infectious Disease Control, Municipal Health Service Hart voor Brabant, 's-Hertogenbosch, The Netherlands."", 'Department of Health Policy and Research, Public Health Service Flevoland, Lelystad, The Netherlands.', 'Department of Infectious Diseases, Municipal Health Service Groningen, Groningen, The Netherlands.', 'Department of Infectious Diseases, Public Health Service of Amsterdam (GGD Amsterdam), Amsterdam, The Netherlands.', 'Department of Infectious Disease Control, Municipal Health Service Haaglanden, The Hague, The Netherlands.', 'Department of Infectious Diseases, Public Health Service region Utrecht, Zeist, The Netherlands.', 'Department of Infectious Disease Control, Municipal Health Services Gelderland Midden, Arnhem, The Netherlands.']",
40628384,Trends in pediatric vaccination coverage in Italy from 2000 to 2023.,2025,"['Francesco Andrea Causio', 'Cosimo Savoia', 'Roberta Pastorino', 'Walter Ricciardi', 'Stefania Boccia']","['Department of Life Sciences and Public Health, Section of Hygiene, Università Cattolica del Sacro Cuore, Rome, Italy.', 'Department of Life Sciences and Public Health, Section of Hygiene, Università Cattolica del Sacro Cuore, Rome, Italy.', 'Department of Life Sciences and Public Health, Section of Hygiene, Università Cattolica del Sacro Cuore, Rome, Italy.', 'Department of Life Sciences and Public Health, Section of Hygiene, Università Cattolica del Sacro Cuore, Rome, Italy.', 'Department of Life Sciences and Public Health, Section of Hygiene, Università Cattolica del Sacro Cuore, Rome, Italy.']",
40627870,HPV burden in Armenia among unvaccinated women: a series of cross-sectional population-based prevalence surveys.,2025,"['Iacopo Baussano', 'Vanessa Tenet', 'Karina Baghdasarova', 'Zaruhi Harutyunyan', 'Maaike Bleeker', 'Ricardo Rüttimann', 'Gayane Sahakyan']","['International Agency for Research on Cancer (IARC/WHO), Early Detection, Prevention and Infections Branch, Lyon, France. Electronic address: baussanoi@iarc.who.int.', 'International Agency for Research on Cancer (IARC/WHO), Early Detection, Prevention and Infections Branch, Lyon, France.', 'FIDEC (Fighting Infectious Diseases in Emerging Countries), Erevan, Armenia.', 'The National Center of Oncology after V.A. Fanarjyan, Yerevan, Armenia.', 'Amsterdam UMC, location Vrije Universiteit Amsterdam, Pathology, De Boelelaan 1117, Amsterdam, The Netherlands.', 'FIDEC, Miami, USA.', 'National Center for Disease Control and Prevention of Ministry of Health, Armenia.']",baussanoi@iarc.who.int.
40627667,The association between routine immunisation and COVID-19 vaccination in small Island developing states.,2025,['Akeem Ali'],"['World Health Organization, North Macedonia.']",
40627611,"Effect of COVID-19 vaccination on the incidence, lethality and mortality of pregnant and postpartum women.",2025,['Fernando Castilho Pelloso'],"['Curitiba Health Department, Curitiba, Paraná, Brazil.']",
